L1,L2,L3,L4,L5,M12,tb
0.135725,0.296001,0.0422295,-0.073919,-0.33396,-53703.2,2.07321
0.135725,0.296001,0.0422295,-0.073919,-0.33396,-54954.1,2.07321
0.135725,0.296001,0.0422295,-0.073919,-0.33396,-56234.1,2.07321
0.135725,0.296001,0.0422295,-0.073919,-0.33396,-57544.,2.07321
0.135802,0.296033,0.0422675,-0.0730168,-0.333045,-50118.7,2.07321
0.135802,0.296033,0.0422675,-0.0730168,-0.333045,-51286.1,2.07321
0.135802,0.296033,0.0422675,-0.0730168,-0.333045,-52480.7,2.07321
0.135802,0.296033,0.0422675,-0.0730168,-0.333045,-53703.2,2.07321
0.135802,0.296033,0.0422675,-0.0730168,-0.333045,-54954.1,2.07321
0.135802,0.296033,0.0422675,-0.0730168,-0.333045,-56234.1,2.07321
0.135879,0.296065,0.0423049,-0.0721182,-0.332134,-48977.9,2.07321
0.135879,0.296065,0.0423049,-0.0721182,-0.332134,-50118.7,2.07321
0.135879,0.296065,0.0423049,-0.0721182,-0.332134,-51286.1,2.07321
0.135879,0.296065,0.0423049,-0.0721182,-0.332134,-52480.7,2.07321
0.135879,0.296065,0.0423049,-0.0721182,-0.332134,-53703.2,2.07321
0.135879,0.296065,0.0423049,-0.0721182,-0.332134,-54954.1,2.07321
0.135955,0.296096,0.0423418,-0.0712233,-0.331227,-47863.,2.07321
0.135955,0.296096,0.0423418,-0.0712233,-0.331227,-48977.9,2.07321
0.135955,0.296096,0.0423418,-0.0712233,-0.331227,-50118.7,2.07321
0.135955,0.296096,0.0423418,-0.0712233,-0.331227,-51286.1,2.07321
0.135955,0.296096,0.0423418,-0.0712233,-0.331227,-52480.7,2.07321
0.135955,0.296096,0.0423418,-0.0712233,-0.331227,-53703.2,2.07321
0.136031,0.296127,0.0423782,-0.0703321,-0.330322,-46773.5,2.07321
0.136031,0.296127,0.0423782,-0.0703321,-0.330322,-47863.,2.07321
0.136031,0.296127,0.0423782,-0.0703321,-0.330322,-48977.9,2.07321
0.136031,0.296127,0.0423782,-0.0703321,-0.330322,-50118.7,2.07321
0.136031,0.296127,0.0423782,-0.0703321,-0.330322,-51286.1,2.07321
0.136031,0.296127,0.0423782,-0.0703321,-0.330322,-52480.7,2.07321
0.136106,0.296158,0.042414,-0.0694444,-0.329421,-45708.8,2.07321
0.136106,0.296158,0.042414,-0.0694444,-0.329421,-46773.5,2.07321
0.136106,0.296158,0.042414,-0.0694444,-0.329421,-47863.,2.07321
0.136106,0.296158,0.042414,-0.0694444,-0.329421,-48977.9,2.07321
