L1,L2,L3,L4,L5,M12,tb
0.16268,0.302355,0.127311,-0.343948,-0.185357,-56234.1,2.07321
0.16268,0.302355,0.127311,-0.343948,-0.185357,-57544.,2.07321
0.16268,0.302355,0.127311,-0.343948,-0.185357,-58884.4,2.07321
0.16268,0.302355,0.127311,-0.343948,-0.185357,-60256.,2.07321
0.16268,0.302355,0.127311,-0.343948,-0.185357,-61659.5,2.07321
0.16268,0.302355,0.127311,-0.343948,-0.185357,-63095.7,2.07321
0.16275,0.302389,0.127386,-0.34331,-0.184048,-53703.2,2.07321
0.16275,0.302389,0.127386,-0.34331,-0.184048,-54954.1,2.07321
0.16275,0.302389,0.127386,-0.34331,-0.184048,-56234.1,2.07321
0.16275,0.302389,0.127386,-0.34331,-0.184048,-57544.,2.07321
0.16275,0.302389,0.127386,-0.34331,-0.184048,-58884.4,2.07321
0.16275,0.302389,0.127386,-0.34331,-0.184048,-60256.,2.07321
0.16275,0.302389,0.127386,-0.34331,-0.184048,-61659.5,2.07321
0.162819,0.302423,0.12746,-0.342678,-0.182742,-52480.7,2.07321
0.162819,0.302423,0.12746,-0.342678,-0.182742,-53703.2,2.07321
0.162819,0.302423,0.12746,-0.342678,-0.182742,-54954.1,2.07321
0.162819,0.302423,0.12746,-0.342678,-0.182742,-56234.1,2.07321
0.162819,0.302423,0.12746,-0.342678,-0.182742,-57544.,2.07321
0.162819,0.302423,0.12746,-0.342678,-0.182742,-58884.4,2.07321
0.162819,0.302423,0.12746,-0.342678,-0.182742,-60256.,2.07321
0.162888,0.302457,0.127534,-0.34205,-0.18144,-51286.1,2.07321
0.162888,0.302457,0.127534,-0.34205,-0.18144,-52480.7,2.07321
0.162888,0.302457,0.127534,-0.34205,-0.18144,-53703.2,2.07321
0.162888,0.302457,0.127534,-0.34205,-0.18144,-54954.1,2.07321
0.162888,0.302457,0.127534,-0.34205,-0.18144,-56234.1,2.07321
0.162888,0.302457,0.127534,-0.34205,-0.18144,-57544.,2.07321
0.162956,0.30249,0.127607,-0.341427,-0.180141,-50118.7,2.07321
0.162956,0.30249,0.127607,-0.341427,-0.180141,-51286.1,2.07321
0.162956,0.30249,0.127607,-0.341427,-0.180141,-52480.7,2.07321
0.162956,0.30249,0.127607,-0.341427,-0.180141,-53703.2,2.07321
0.162956,0.30249,0.127607,-0.341427,-0.180141,-54954.1,2.07321
0.162956,0.30249,0.127607,-0.341427,-0.180141,-56234.1,2.07321
0.163024,0.302523,0.127679,-0.34081,-0.178844,-48977.9,2.07321
0.163024,0.302523,0.127679,-0.34081,-0.178844,-50118.7,2.07321
0.163024,0.302523,0.127679,-0.34081,-0.178844,-51286.1,2.07321
0.163024,0.302523,0.127679,-0.34081,-0.178844,-52480.7,2.07321
0.163024,0.302523,0.127679,-0.34081,-0.178844,-53703.2,2.07321
0.163024,0.302523,0.127679,-0.34081,-0.178844,-54954.1,2.07321
0.163091,0.302556,0.127751,-0.340197,-0.177551,-47863.,2.07321
0.163091,0.302556,0.127751,-0.340197,-0.177551,-48977.9,2.07321
0.163091,0.302556,0.127751,-0.340197,-0.177551,-50118.7,2.07321
0.163091,0.302556,0.127751,-0.340197,-0.177551,-51286.1,2.07321
0.163091,0.302556,0.127751,-0.340197,-0.177551,-52480.7,2.07321
0.163091,0.302556,0.127751,-0.340197,-0.177551,-53703.2,2.07321
0.163157,0.302589,0.127822,-0.33959,-0.176261,-46773.5,2.07321
0.163157,0.302589,0.127822,-0.33959,-0.176261,-47863.,2.07321
0.163157,0.302589,0.127822,-0.33959,-0.176261,-48977.9,2.07321
0.163157,0.302589,0.127822,-0.33959,-0.176261,-50118.7,2.07321
0.163157,0.302589,0.127822,-0.33959,-0.176261,-51286.1,2.07321
0.163157,0.302589,0.127822,-0.33959,-0.176261,-52480.7,2.07321
0.163223,0.302621,0.127892,-0.338987,-0.174974,-45708.8,2.07321
0.163223,0.302621,0.127892,-0.338987,-0.174974,-46773.5,2.07321
0.163223,0.302621,0.127892,-0.338987,-0.174974,-47863.,2.07321
0.163223,0.302621,0.127892,-0.338987,-0.174974,-48977.9,2.07321
0.163223,0.302621,0.127892,-0.338987,-0.174974,-50118.7,2.07321
0.163223,0.302621,0.127892,-0.338987,-0.174974,-51286.1,2.07321
0.163288,0.302653,0.127961,-0.338389,-0.17369,-44668.4,2.07321
0.163288,0.302653,0.127961,-0.338389,-0.17369,-45708.8,2.07321
0.163288,0.302653,0.127961,-0.338389,-0.17369,-46773.5,2.07321
